District,Ad,FM_Numbers,BDI,Short_Description,Number_of_Contracts_Awarded,Contract_Threshold,Major_Work_Types,Minor_Work_Types,Under_Utilized_Work_Groups,Contract_Amount_Limit,Advertisement_Date,Response_Deadline_Date_Time,Shortlist_Selection_Date,Final_Selection_Date,Selection_Method,Standard_Notes
01,23113,,No,SR 15 (US 98) FROM SE 30TH TERR TO MARTIN COUNTY LINE,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying", GROUP 4-Highway Design - Bridges,"$1,595,941.00",08/15/2022,08/29/2022 05:00 PM,09/20/2022,10/18/2022, Letter of Response and Interview, Standard Note 8 
01,23114," 44923213201 
 44923213202",No,SR 35 (US 17) FROM 9TH ST NW TO OAK HAMMOCK LOOP,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying", GROUP 4-Highway Design - Bridges,"$1,840,869.00",03/21/2022,04/04/2022 05:00 PM,04/26/2022,05/24/2022, Letter of Response and Interview, Standard Note 8 
01,23115," 44923113201 
 44923113202 
 44927613201 
 44927613202",Yes,SR 60 FROM RATTLESNAKE RD TO E OF TIGER LAKE RD,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying",,"$1,278,225.00",07/11/2022,07/25/2022 05:00 PM,08/16/2022,09/13/2022, Letter of Response and Interview, Standard Note 7 
01,23117," 44910013201 
 44910013202",No,SR 45 (US 41) FROM E OF PRETO BLVD TO WOODMERE RD,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 6.1-Traffic Engineering Studies 
 6.3.1-Intelligent Trans Systems Analysis & Design 
 6.3.2-Intelligent Trans Systems Implementation 
 6.3.3-Intelligent Trans Traffic Engin. Communications 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying", GROUP 4-Highway Design - Bridges,"$1,231,539.00",04/18/2022,05/02/2022 05:00 PM,05/24/2022,06/28/2022, Letter of Response and Interview, Standard Note 8 
01,23118," 44788713201 
 44788713202 
 44912213201 
 44912213202",No,SR 72 FROM US 41 (SR 45) TO HONORE AVE,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.3-Highway Materials Testing 
 9.4.1-Standard Foundation Studies"," GROUP 4-Highway Design - Bridges 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$2,117,646.00",05/09/2022,05/23/2022 05:00 PM,06/14/2022,07/12/2022, Letter of Response and Interview, Standard Note 8 
01,23119,,No,LRTP TRAFFIC MODEL CONTINUING SERVICES CONTRACT,1,Technically Prequalified & Unlimited Audit required," 13.4-Systems Planning 
 13.5-Subarea/Corridor Planning"," 6.1-Traffic Engineering Studies 
 6.2-Traffic Signal Timing 
 6.3.1-Intelligent Trans Systems Analysis & Design 
 13.7-Transportation Statistics",,"$5,000,000.00",03/14/2022,03/28/2022 05:00 PM,04/19/2022,05/24/2022, Letter of Response and Interview, Standard Note 9 
01,23120, 19839126202,No,MATERIALS & TESTING CEI SUPPORT-CONTINUING SERVICES CONTRACT,1,Technically Prequalified & Unlimited Audit required," 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.3-Highway Materials Testing 
 9.4.1-Standard Foundation Studies 
 10.3-Construction Materials Inspection"," 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing"," GROUP 9-Soil Exploration, Material Testing, and Foundations 
 GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00",09/19/2022,10/03/2022 05:00 PM,10/25/2022,11/22/2022, Letter of Response and Abbreviated Technical Proposal," Standard Note 8  
 Standard Note 10  
 Standard Note 12"
01,23121,,No,CONSTRUCTION CEI SURVEY SUPPORT - DISTRICT WIDE,1,Technically Prequalified & Unlimited Audit required," 8.2-Design, Right of Way, Construction Surveying",,,"$1,500,000.00",02/06/2023,02/20/2023 05:00 PM,03/14/2023,03/28/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 10 "
01,23123,,No,SR 865 (SAN CARLOS) FROM N CRESCENT ST TO N OF HURRICANE,1,Technically Prequalified & Unlimited Audit required," 10.1-Roadway Construction Engineering Inspection 
 10.5.1-Major Bridge CEI - Concrete",," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,278,621.00",10/17/2022,10/31/2022 05:00 PM,11/29/2022,12/13/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23124, 43944116201,Yes,COUNTYLINE RD OVER PEACE RIVER BRIDGE #160101,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,,,"$818,844.00",10/24/2022,11/07/2022 05:00 PM,12/06/2022,12/20/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 7  
 Standard Note 10 "
01,23125,,No,SR 45 (US 41) FROM N OF PORT COMMONS TO STATE COLLEGE OF FL,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$2,051,053.00",07/25/2022,08/08/2022 05:00 PM,08/30/2022,09/13/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23126,,No,SR 683 (US 301) FROM S OF 25TH CT E TO S OF 13TH AVE E,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$2,683,837.00",09/26/2022,10/10/2022 05:00 PM,11/01/2022,11/15/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23127, 44593216201,No,SR25 (US27) FROM FISHEATING CREEK TO HIGHLANDS COUNTY LINE,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,268,257.00",08/22/2022,09/06/2022 05:00 PM,09/27/2022,10/10/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23128,,No,I-4 (SR 400) FROM HILLSBOROUGH COUNTY LINE TO GALLOWAY RD,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.2-Design, Right of Way, Construction Surveying"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,243,424.00",11/14/2022,11/30/2022 05:00 PM,12/20/2022,01/17/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23130, 43318316206,No,CEI (INSPECTION) BARTOW OPERATIONS CENTER-CSC,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00",01/30/2023,02/13/2023 05:00 PM,03/07/2023,03/21/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23131, 44743716201,No,SR 25 (US 27) FROM N OF SR 540 TO N OF KOKOMO RD,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$2,731,917.00",03/28/2022,04/11/2022 05:00 PM,05/03/2022,05/17/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23132," 43084816201 
 43084826201",No,SR 82 FROM HENDRY COUNTY LINE TO GATOR SLOUGH LANE,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$4,301,034.00",12/19/2022,01/04/2023 05:00 PM,01/31/2023,02/14/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23133," 43826213201 
 43826213202",No,SR 45 (US 41) TAMIAMI TRAIL FROM CONWAY BLVD TO MIDWAY BLVD,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying", GROUP 4-Highway Design - Bridges,"$830,000.00",01/09/2023,01/24/2023 05:00 PM,02/14/2023,03/14/2023, Letter of Response and Interview, Standard Note 8 
01,23134,,No,BARRIER ISLAND COMPLETE STREETS IMPROVEMENTS,1,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 3.2-Major Highway Design 
 6.1-Traffic Engineering Studies 
 13.5-Subarea/Corridor Planning",,"$2,000,000.00",12/12/2022,12/27/2022 05:00 PM,01/17/2023,02/14/2023, Letter of Response and Oral Presentation, Standard Note 9 
01,23135, 44640412201,No,US92/COUNTY LINE RD FROM AMBERJACK BLVD TO FRONTAGE RD,1,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 3.2-Major Highway Design 
 4.1.2-Minor Bridge Design 
 6.1-Traffic Engineering Studies", GROUP 4-Highway Design - Bridges,"$2,000,000.00",06/13/2022,06/27/2022 05:00 PM,07/19/2022,08/23/2022, Letter of Response and Oral Presentation, Standard Note 8 
01,23136, 45033412201,No,SR 70 FROM CR 721 S TO CR 559/128 AVE,2,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 3.2-Major Highway Design 
 4.1.2-Minor Bridge Design 
 6.1-Traffic Engineering Studies", GROUP 4-Highway Design - Bridges,"$3,000,000.00",09/26/2022,10/10/2022 05:00 PM,11/01/2022,12/06/2022, Letter of Response and Oral Presentation, Standard Note 8 
01,23138, 44547316201,Yes,SR 70 FROM COUNTY LINE TO PEACE RIVER,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,,,"$1,180,142.00",11/14/2022,11/30/2022 05:00 PM,12/20/2022,01/17/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 7  
 Standard Note 10 "
01,23139, 43614626202,No,CONTINUING SERVICES MAINTENANCE CONTRACT SUPPORT,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 10.4-Minor Bridge & Miscellaneous Structures CEI 
 11.0-Engineering Contract Admin. and Management"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00",05/02/2022,05/23/2022 05:00 PM,06/14/2022,06/28/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23140, 44353316201,No,PRE-EVENT TS/HURRICANE CEI,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00",01/03/2023,01/17/2023 05:00 PM,02/07/2023,02/21/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,23141,,No,ACCESS MANAGEMENT DESIGN SUPPORT-DISTRICT WIDE,1,Technically Prequalified & Unlimited Audit required, 6.1-Traffic Engineering Studies,,,"$1,500,000.00",03/28/2022,04/11/2022 05:00 PM,05/03/2022,05/31/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
01,23142, 43318326206,No,CEI (INSPECTION) SARASOTA OPERATIONS CTR-CSC,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00",06/06/2022,06/20/2022 05:00 PM,07/12/2022,07/26/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
01,C5171,,No,US27 ALT US98 TO POLK CO LINE,1,Technically Prequalified & Unlimited Audit required, 13.5-Subarea/Corridor Planning,,,$0.00,04/09/1993,04/19/1993 05:00 PM,05/17/1993,08/24/1993, No Value (PSI to PDA conversion) ,
02,22270,,No,Continuing Services for Lake City Construction Office,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$7,500,000.00",02/14/2022,03/14/2022 05:00 PM,04/18/2022,04/18/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
02,23201,,No,General Planning for PUBLIC TRANSPORTATION SYSTEMS PLANNING,1,Technically Prequalified & Unlimited Audit required, 13.4-Systems Planning," 3.1-Minor Highway Design 
 13.3-Policy Planning"," GROUP 3-Highway Design - Roadway 
 GROUP 13-Planning","$5,000,000.00",02/21/2022,03/15/2021 05:00 PM,03/21/2022,04/25/2022, Letter of Response and Interview, Standard Note 8 
02,23203,,No,Race Track Road at SR5 (US1),1,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration", GROUP 3-Highway Design - Roadway,"$500,000.00",05/09/2022,05/23/2022 05:00 PM,06/06/2022,07/18/2022, Letter of Response and Interview, Standard Note 8 
02,23204,,No,SR200 (US301) @ SR223 (US301A) South of Starke,1,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration", GROUP 3-Highway Design - Roadway,"$750,000.00",03/21/2022,04/04/2022 05:00 PM,04/18/2022,06/06/2022, Letter of Response and Interview, Standard Note 8 
02,23205,,No,SRA1A FROM SAN MARCO TO NORTH OF PARK ENTRANCE,1,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration", GROUP 3-Highway Design - Roadway,"$600,000.00",04/18/2022,05/02/2022 05:00 PM,05/23/2022,06/27/2022, Letter of Response and Interview, Standard Note 8 
02,23206,,No,Continuing Services Minor Design,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$5,000,000.00",02/21/2022,03/07/2022 05:00 PM,03/21/2022,05/02/2022, Letter of Response and Interview, Standard Note 8 
02,23207,,No,SR26 at Hatchet Creek Bridge #260033,1,Technically Prequalified & Unlimited Audit required," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design"," 3.1-Minor Highway Design 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$672,265.00",06/20/2022,07/05/2022 05:00 PM,07/18/2022,08/22/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
02,23208,,No,SR5(US17) FROM N OF BROWARD RIVER TO THE NASSAU COUNTY LINE,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$1,491,802.00",04/18/2022,05/02/2022 05:00 PM,05/16/2022,06/27/2022, Letter of Response and Interview, Standard Note 8 
02,23210,,No,SR26 FROM EAST OF SR200(US301) TO SR21 IN PUTNAM COUNTY,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$1,586,520.00",04/18/2022,05/02/2022 05:00 PM,05/23/2022,07/11/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
02,23212,,No,SR16 FROM THE UNION COUNTY LINE TO SR200(US301),2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$1,169,525.00",08/22/2022,09/06/2022 05:00 PM,09/19/2022,10/24/2022, Letter of Response and Interview, Standard Note 8 
02,23214,,No,SR55(US221) FROM SR10(US90) TO THE JEFFERSON COUNTY LINE,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$975,170.00",06/20/2022,07/05/2022 05:00 PM,07/18/2022,08/22/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
02,23216," 20779433201 
 21037843201",No,SR 200 (US 301) From SR 20 To SR 26,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$1,574,169.00",04/11/2022,04/25/2022 05:00 PM,05/16/2022,06/27/2022, Letter of Response and Interview, Standard Note 8 
02,23218,,Yes,SR15 (US17) from the Putnam County Line to Sweat Road - BDI,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$925,891.00",08/15/2022,08/29/2022 05:00 PM,09/12/2022,10/17/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 7 
02,23220,,No,SR228(POST ST) FROM CASSAT AVENUE TO OLD ROOSEVELT,2,Technically Prequalified & Unlimited Audit required, 3.2-Major Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$770,026.00",06/13/2022,06/27/2022 05:00 PM,07/18/2022,08/29/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
